Org_Name,Region_Code,Parent_Group,Audit_Sector,Compliance_Status
"Xiamen Expanding Industrial Co., Ltd",China,HADDAD,FINISHED GOODS,Pass
"Zhijie Footwear Technical Service (Zhongshan) CO.,Ltd",China,HUALI,FINISHED GOODS,Pass
Phu Hung Joint Stock Company,Vietnam,PHU HUNG,FINISHED GOODS,Pass
"VINH LONG FOOTWEAR CO., LTD.",Vietnam,LAI YIH,FINISHED GOODS,Pass
"SI HAN MANUFACTURING CO.,LTD.",China,SI HAN,FINISHED GOODS,Pass
Brandix Apparel Solutions (PVT) LTD,Sri Lanka,BRANDIX SOLUTIONS,FINISHED GOODS,Pass
PT PAXAR INDONESIA (AVERY DENNISON GROUP),Indonesia,AVERY DENNISON,MATERIALS,Pass
CONG TIEN GARMENT JOINT STOCK COMPANY,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
"KITAI CO., LTD",Japan,KITAI,FINISHED GOODS,Pass
Ramatex Printing Garment (Suzhou) Ltd,China,RAMATEX,MATERIALS,Pass
PT.WONEEL MIDAS LEATHERS,Indonesia,PT. WONEEL MIDAS LEATHERS,FINISHED GOODS,Pass
DAERIM TEXTILE CO LTD (KOREA),South Korea,DAERIM TEXTILE,MATERIALS,Pass
"Taichung Shuihing Label Weaving Co., Ltd.",Taiwan,AVERY DENNISON,FINISHED GOODS - COMPONENTS,Pass
PT Tong Hong Tannery,Indonesia,TONG HONG,MATERIALS,Pass
"Yuan Ling Knitting Industrial CO., LTD.",Taiwan,YUAN LING,MATERIALS,Pass
"Fashion Garments 2 Co., Ltd - Xuan Tay",Vietnam,HIRDARAMANI,FINISHED GOODS,Pass
"Fujian Xingxun New Materials Technology Co., Ltd.",China,"FUJIAN XINGXUN NEW MATERIALS TECHNOLOGY CO., LTD.",FINISHED GOODS - COMPONENTS,Pass
"Vung Tau Orient Co., Ltd - unit 02",Vietnam,FENG TAY AC,FINISHED GOODS,Pass
NICE APPAREL COMPANY LIMITED,Thailand,NICE APPAREL,FINISHED GOODS,Pass
PT Chang Shin Indonesia,Indonesia,CHANGSHIN,FINISHED GOODS,Pass
Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,Vietnam,THUAN PHUONG,FINISHED GOODS,Pass
"JIANGSU NINGSHENG GARMENT CO.,LTD   ",China,JIANGSU NINGSHENG GARMENT,FINISHED GOODS,Pass
GILDAN TEXTILES DE SULA S DE R L RIO NANCE 6,Honduras,GILDAN,MATERIALS,Pass
BUTTON INTERNATIONAL CO LTD (TAIWAN),Taiwan,BUTTON INTERNATIONAL,MATERIALS,Pass
PROMAX TEXTILE (VIETNAM) CO. LTD – FTY3,Vietnam,PROMAX TEXTILE,MATERIALS,Pass
"Worldon Vietnam Co., Ltd.",Vietnam,SHENZHOU,FINISHED GOODS,Pass
"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",China,PT MAP,FINISHED GOODS,Pass
Shanghai Shengaoyu Costume Ltd.,China,SHANGHAI SHENGAOYU,FINISHED GOODS,Pass
Jade textile Ismailia S.A.E,Egypt,YESIM,FINISHED GOODS,Pass
"Thuan Phuong Embroideries Garments Co., Ltd.",Vietnam,THUAN PHUONG,FINISHED GOODS,Pass
FAR EASTERN,Taiwan,FAR EASTERN,MATERIALS,Pass
Eren Perakende ve Tekstil AS (Corlu),Turkey,EREN PERAKENDE,FINISHED GOODS,Pass
PT Dayup Indo,Indonesia,DAYUP,FINISHED GOODS,Pass
Marchon Italia Srl a SU,Italy,MARCHON,FINISHED GOODS,Pass
"Hi-Tech Apparel Cambodia Co., Ltd.",Cambodia,HI TECH,FINISHED GOODS,Pass
NV Apparel Company Limited,Vietnam,NICE APPAREL,FINISHED GOODS,Pass
"ECLAT FABRIC CO., LTD.",Vietnam,ECLAT,MATERIALS,Pass
"COSMO VIETNAM CO.,LTD",Vietnam,COSMOPOLITAN TEXTILE,MATERIALS,Pass
UN-AVAILABLE CO. LTD,Vietnam,UN AVAILABLE,FINISHED GOODS,Pass
PETTENATI CENTRO AMERICA S.A. DE C.V.,El Salvador,PETTENATI,MATERIALS,Pass
VEGA BALLS MANUFACTURING,Thailand,VEGA BALL,FINISHED GOODS,Pass
MAPLE COMPANY LIMITED,Vietnam,RAMATEX,FINISHED GOODS,Pass
"Hoosier Manufacturing, Compania Limitada",Guatemala,INDIANA KNITWEAR,FINISHED GOODS,Pass
TAG TIME,China,TAG TIME,FINISHED GOODS - COMPONENTS,Pass
STANWELL-EXPAN CO. LTD,Taiwan,STANWELL-EXPAN,FINISHED GOODS - COMPONENTS,Pass
ShangGao Yisen Industry Co. Ltd.,China,POU CHEN,FINISHED GOODS,Pass
99 Embroidery (1999) Co.Ltd. (Chumphae branch),Thailand,NICE APPAREL,FINISHED GOODS - COMPONENTS,Pass
SAMBU FINE CHEMICAL CO LTD (INDONESIA),Indonesia,SAMBU FINE CHEMICAL,FINISHED GOODS - COMPONENTS,Pass
"Yumei Shantou Garments Co., Ltd",China,EAGLE NICE,FINISHED GOODS,Pass
GOLD LONG JOHN (TR1) (TAIWAN),Taiwan,GOLD LONG JOHN,FINISHED GOODS - COMPONENTS,Pass
"LUCKYTEX SOC TRANG VIETNAM CO., LTD",Vietnam,TUNTEX,FINISHED GOODS,Pass
"Zhangjiagang New HuaYuan Accessones Co., Ltd",China,HUAYUAN ACCESSORIES,FINISHED GOODS,Pass
Style Raiwind,Pakistan,STYLE TEXTILE,FINISHED GOODS,Pass
TKG TAEKWNG BINH PHUOC COMPANY LIMITED,Vietnam,TAEKWANG,FINISHED GOODS - COMPONENTS,Pass
Pine Tree Company for Textile Manufacturing PSC,Jordan,RAMATEX,FINISHED GOODS,Pass
YOUNGIL (VIETNAM),Vietnam,YOUNGIL LEATHER,MATERIALS,Pass
"ACE Accessories Co., Ltd.",Taiwan,ACE ACCESSORIES,FINISHED GOODS,Pass
SELF MAGLIERIA SRL,Italy,SELF MAGLIERIA,FINISHED GOODS,Pass
Shao Yang County SteIIa Footwear LTD ,China,STELLA,FINISHED GOODS,Pass
"Zhangpu Hengxin Bags Co., Ltd",China,ZHANGPU HENGXIN,FINISHED GOODS,Pass
"Fujian San Feng Footwear Co.,Ltd",China,FENG TAY,FINISHED GOODS,Pass
"Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala",Sri Lanka,BRANDIX ASIA HOLDINGS,FINISHED GOODS,Pass
"Song Hong Garment JSC - Nghia Hung Branch: Factory 15,16,17,18",Vietnam,SONG HONG,FINISHED GOODS,Pass
"FOSHAN COSMO HUAZHOU TEXTILE CO.,LTD.",China,COSMOPOLITAN TEXTILE,MATERIALS,Pass
TORAY SAKAI CO. LTD.,China,TORAY,MATERIALS,Pass
Maxturn Apparel Company Limited,Vietnam,MAXTURN APPAREL,FINISHED GOODS,Pass
PT. AGUNG PELITA INDUSTRINDO,Indonesia,PRATAMA,FINISHED GOODS - COMPONENTS,Pass
HAYLEYS FABRIC PLC ,Sri Lanka,MAS HOLDINGS,MATERIALS,Pass
United Creation Optical (Cambodia) Co. Ltd.,Cambodia,UNITED CREATION,FINISHED GOODS,Pass
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,China,ANHUI COSMO,FINISHED GOODS,Pass
"Dongguan Ye Ji Industrial Co., Ltd.",China,CRYSTAL,FINISHED GOODS,Pass
TRIMCO GROUP (INDIA) PVT LTD,India,TRIMCO GROUP,FINISHED GOODS - COMPONENTS,Pass
"TMVN MANUFACTURING CO.,LTD.",Vietnam,TP INC,FINISHED GOODS,Pass
"NAN YANG GARMENT CO., LTD.",Thailand,NAN YANG,FINISHED GOODS,Pass
BAIKSAN (TR1) (INDONESIA),Indonesia,BAIKSAN,MATERIALS,Pass
Maxpro Sports Manufacturing Inc.,Philippines,MAXPRO,FINISHED GOODS,Pass
Hoosier Manufacturing,Guatemala,INDIANA KNITWEAR,FINISHED GOODS,Pass
"United Creation Optical Technology Co., Ltd",China,UNITED CREATION,FINISHED GOODS,Pass
Business Location of MDK Embroideries Garments Company Limited - Binh Chanh Factory,Vietnam,THUAN PHUONG,FINISHED GOODS,Pass
MILTEKS TEXTILE EGYPT,Egypt,MILTEKS,FINISHED GOODS,Pass
Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch,China,SUN HING OPTICAL,FINISHED GOODS,Pass
"Wenzhou Outlook Eyewear Co., Ltd",China,WENZHOU OUTLOOK,FINISHED GOODS,Pass
Gold Long John (Vietnam 2nd location),Vietnam,GOLD LONG JOHN,FINISHED GOODS - COMPONENTS,Pass
"CHUAN CHENG HAT CO., LTD.",Taiwan,CHUAN CHENG,FINISHED GOODS,Pass
Ajara Textile Ltd (Bobokvati),Georgia,MILTEKS,FINISHED GOODS,Pass
"Fulltide Enterprise Co., Ltd.",Taiwan,FULL TIDE,MATERIALS,Pass
Skyrina.SA de C.V,Mexico,SABRINA,FINISHED GOODS,Pass
