Factory_Name,Category,Product_Type,Brand,Empty,Parent_Group,Address,City,State,Zip,Country,Region,Workers,Female_Workers,Line_Workers,Migrant_Workers
GreenTech Headgear Company Limited,FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,D02 Street Chau Duc Industrial Zone,Chau Duc,Bà Ra - Vung Tàu,78000,Vietnam,SE ASIA,2086,1930,79,0
Gianel Shoes srl,FINISHED GOODS,Footwear,Converse,,GIANEL,ZONA INDUSTRIALE,CASARANO,Lecce,73042,Italy,EMEA,157,152,68,4
"Apple Apparel (Cambodia) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,Phum Chumpou Voin,Phonm Penh,Phnom Penh,120911,Cambodia,SE ASIA,584,509,81,0
"Annora Vietnam  Footwear Co.,Ltd",FINISHED GOODS,Footwear,Nike,,HUALI,Nghi Son Economic Zone Dao Duy Tu Ward ,Nghi Son Township,Thanh Hóa,456400,Vietnam,SE ASIA,21878,19845,88,0
ALSTON APPAREL INC.,FINISHED GOODS,Apparel,Nike,,SPORTS CITY,Lot 2c 3b and 3c Block 3 Crescent Road,Lapu Lapu,Cebu,6015,Philippines,N ASIA,750,600,92,0
Pou Chen Corporation,FINISHED GOODS,Footwear,Nike,,POU CHEN,No 2 Fugong Rd,Changhua,Changhua,506027,Taiwan,N ASIA,1654,476,79,0
"Vietnam Golden Victory Co., Ltd.",FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,DONG BINH VILLAGE DONG THINH WARD NGHIA HUNG DISTRICT,Nam Dinh,Nam Ðnh,420000,Vietnam,SE ASIA,9040,8150,80,0
Zhejiang Guangtai Delta Socks Co. Ltd.,FINISHED GOODS,Equipment,Nike,Collegiate,DELTA EQ GROUP,36 Kaixiang Avenue,Datang Street Zhuji,Zhejiang,311812,China,N ASIA,215,164,54,0
"Oriental Garment Co., Ltd – Nongbuadang",FINISHED GOODS,Apparel,Nike,,ORIENTAL GARMENT,178 Moo 17,Nongbuadang,Chaiyaphum,36210,Thailand,SE ASIA,292,289,67,0
Interloop Limited,FINISHED GOODS,Equipment,Nike,,INTERLOOP,7 km Khurrianwala Jaranwala Road,Faisalabad,Punjab,37660,Pakistan,S ASIA,16529,11607,16,0
TKG TAEKWANG VINA JOINT STOCK COMPANY,FINISHED GOODS,Footwear,Nike,,TAEKWANG,No 8 Road 9A,BIEN HOA,Ðng Nai,700000,Vietnam,SE ASIA,15894,13390,90,0
Sportek,FINISHED GOODS,Footwear,Nike,,DIAMANT,Milosa Oblica,Kotor Varos,Republika Srpska,78220,Bosnia,EMEA,1998,1835,71,0
Dass Sul Calcados e Artigos Esportivos Ltda,FINISHED GOODS,Apparel,Nike,,CLASSICO,Marcilio Dias 10,Saudades,Santa Catarina,89868-000,Brazil,AMERICAS,821,443,68,44
"Fujian Xiefeng Footwear Co.,Ltd.",FINISHED GOODS,Footwear,Nike,,FENG TAY,NO 888 CHENGHAN WEST ROAD,Putian,Fujian,351131,China,N ASIA,4366,3652,76,0
PT. SHOETOWN LIGUNG INDONESIA,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,"JALAN LANUD SUKANI, DESA BUNTU",MAJALENGKA,Jawa Barat,45456,Indonesia,S ASIA,12034,10223,43,0
"Eagle Nice (Yifeng) Garments Co., Ltd",FINISHED GOODS,Apparel,Nike,,EAGLE NICE,No 76 Gong Zhang Road,Yifeng,Jiangxi,336300,China,N ASIA,1817,1441,96,0
PT ECLAT TEXTILE INTERNATIONAL,FINISHED GOODS,Apparel,Nike,Collegiate,ECLAT,Jl SAPTARENGGA No 11 Kel Wonorejo Kec Kaliwungu,Kendal,Jawa Tengah,51372,Indonesia,S ASIA,6038,5837,90,0
Viet Long Hung Garment Company Limited,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,Hung Thanh Hamlet,Go Cong City,Tin Giang,860000,Vietnam,SE ASIA,2067,1880,62,0
NAM THIEN COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,Lot IV No 13 No 4 Street,Ho Chi Minh,Ho Chi Minh,700000,Vietnam,SE ASIA,461,396,77,0
KWAN TAT VIET NAM INDUSTRIAL LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,KWAN TAT VIET NAM INDUSTRIAL LIMITED, T6 147M 6 group,Thuan An,Bình Duong,752118,Vietnam,SE ASIA,117,96,77,11
"Boling Digital (Xiamen) Technology Co.,Ltd",FINISHED GOODS,Apparel,Nike,,HADDAD,No 175 Ji an Road,Xiamen City,Fujian,361100,China,N ASIA,88,80,81,0
TDT Investment and Development JSC,FINISHED GOODS,Apparel,Converse,,TDT INVESTMENT AND DEVELOPMENT,Thuan Phap Village Diem Thuy Commune,Thai Nguyen,Thái Nguyên,24900,Vietnam,SE ASIA,670,505,69,0
TIGAMARO SRL,FINISHED GOODS,Apparel,Nike,,TIGAMARO,Via Cristoforo Colombo 164,Macerata,Macerata,62029,Italy,EMEA,85,72,93,6
Maxport Limited (Viet Nam) - Thai Binh Branch,FINISHED GOODS,Apparel,Nike,Collegiate,MAXPORT,Lot with area of 110238 m2,Vu Thu,Thái Bình,410000,Vietnam,SE ASIA,2662,2116,83,0
Dass Nordeste Calcados e Artigos Esportivos Ltda,FINISHED GOODS,Footwear,Nike,,DASS,Av Juracy Magalhaes 5100,Vitoria da Conquista,Bahia,45023-490,Brazil,AMERICAS,3970,3770,50,0
MAS Al Safi Apparel Manufacturing LLC - Madaba,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Dulailet Alhamaideh Leb and Mlaih,Madaba,Madaba,11636,Jordan,EMEA,706,622,66,17
YANCHENG XINBO GARMENTS CO LTD,FINISHED GOODS,Apparel,Nike,,DECOR,NO11 CHANGJIANG RD,Yancheng,Jiangsu,224007,China,N ASIA,178,153,95,0
Diamant srl,FINISHED GOODS,Footwear,Nike,,DIAMANT,Viale del Lavoro 8,Sorga,Verona,37060,Italy,EMEA,250,188,71,5
ENVA TEXTILE GROUP FOR SOCKS PRODUCTION S.A.E,FINISHED GOODS,Apparel,Nike,,ENVA TEXTILE GROUP,ISMAILIA PUBLIC FREE ZONE,ISMAILIA,AI Isma iliyah,41639,Egypt,EMEA,359,294,56,0
Lotus Footwear Enterprises Ltd. (India Branch) - Unit 1,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot No 3B SIPCOT Industrial Park,Thiruvannamalai,Tamil Nadu,631701,India,S ASIA,6352,6319,54,0
Ev-kon Tekstil San. Ve Tic. A.S.,FINISHED GOODS,Apparel,Nike,,YESIM,Kayatepe Mah Kayatepe Kume evleri No 219 Savur Mardin,Mardin,Mardin,47860,Turkey,EMEA,1099,987,43,0
Tho Xuan Corporation Company Limited,FINISHED GOODS,Apparel,Nike,,THO XUAN CORP,THO XUAN TOWN INDUSTRIAL CLUSTER XUANTRUONG COMMU,Thanh Hoa,Thanh Hóa,40000,Vietnam,SE ASIA,643,601,85,0
"Atoms., Inc",FINISHED GOODS,Equipment,Nike,,ATOMS,"156-4,DAIFUKU",SAKURAI,Nara,6330067,Japan,N ASIA,5,2,0,0
Haivina Hong Linh Co. Ltd,FINISHED GOODS,Equipment,Nike,,HAIVINA HONG,Nam Hong Industrial Zone,Ha Tinh Province,Hà Tinh,480000,Vietnam,SE ASIA,1201,1080,99,0
Crystal Martin (Vietnam) Company Limited,FINISHED GOODS,Apparel,Nike,,CRYSTAL,Lot R R1,Viet Yen Town,Bc Giang,26170,Vietnam,SE ASIA,5382,4561,65,0
Lucky Star Vietnam Garment Company Limited,FINISHED GOODS,Apparel,Nike,,LUCKY STAR,No 108 part of lot D road No 3 Dong An IP Binh Hoa Ward,Thuan An,Bình Duong,820000,Vietnam,SE ASIA,1016,892,75,0
"VIETNAM DONA ORIENT CO., LTD",FINISHED GOODS,Footwear,Nike,,FENG TAY,Song May Industrial Zone Bac Son Ward,Trang Bom,Ðng Nai,76000,Vietnam,SE ASIA,8545,8252,60,0
"Celeritas de San Bartolo, S.A. de C.V.",FINISHED GOODS,Apparel,Nike,,INDUSTRIAS MERLET,KILOMETRO 69 CARRETERA A METAPAN CUTUMAY CAMONES,SANTA ANA,Santa Ana,41000,El Salvador,AMERICAS,871,859,75,0
Texlan Center Private Limited,FINISHED GOODS,Equipment,Nike,,INTERLOOP,"Weniwalgodalle Estate, Dagonna Road",Minuwangoda,Colombo,11550,Sri Lanka,S ASIA,1093,810,45,0
"Jiangxi Guangyou Shoetown Footwear Co., Ltd.",FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,"Xiangtang village, Xiangtang town",Nanchang,Jiangxi,330201,China,N ASIA,1331,992,82,0
TEXTILES INTERNATIONAL OF EGYPT LTD.,FINISHED GOODS,Apparel,Nike,,TIE TEXTILES,PUBLIC FREE ZONE  NASR CITY,CAIRO,Ash Sharqiyah,11816,Egypt,EMEA,812,695,60,0
MAS KREEDA Shadeline ,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,MAPAKADEWEWA,MAHIYANGANAYA,Monaragala,90730,Sri Lanka,S ASIA,3385,2879,76,0
LIM SRL,FINISHED GOODS,Footwear,Converse,,LIM,VIA FRASSENARA 21,Montagnana,Padova,35044,Italy,EMEA,39,29,21,24
Rollsport Vietnam Footwear Limited,FINISHED GOODS,Footwear,Nike,,HUALI,Hoang Long Industrial Zone,Thanh Hoa,Thanh Hóa,440000,Vietnam,SE ASIA,17400,15804,91,0
ORIENTAL GARMENT AN GIANG CO LTD,FINISHED GOODS,Apparel,Nike,,ORIENTAL GARMENT,PLOT K BINH HOA IZ BINH HOA COMMUNE CHAU THANH DISTRICT,AN GIANG,An Giang,90000,Vietnam,SE ASIA,428,357,79,0
PT Eagle Nice Indonesia,FINISHED GOODS,Apparel,Nike,Collegiate,EAGLE NICE,JL Raya Serang,Kabupaten Serang,Banten,42186,Indonesia,S ASIA,2738,1952,73,1
TTG Co. Ltd.,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,Lot B1 4,Tien Giang,Long An,3937350,Vietnam,SE ASIA,41,38,39,0
JDTEX INDUMENTARIA S.A.,FINISHED GOODS,Apparel,Converse,,JDTEX INDUMENTARIA SA,Juan Iribarne 960,Lujan,Buenos Aires,B6700,Argentina,AMERICAS,28,23,83,0
"Shandong Yuanchenghe Garment Co.,Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,Huan cheng Science and Technology Park,Taian City,Shandong,271400,China,N ASIA,176,137,92,0
TCS SRL,FINISHED GOODS,Apparel,Nike,,TCS,VIA REGINA TEODOLINDA 47,Como,Como,22100,Italy,EMEA,17,14,57,0
